Location,Resort,Pass,Year,Total Snowfall,Snowfall Days,Average Base Depth,Average Summit Depth,Max Base Depth,Biggest Snowfall
utah,Alta,Ikon,2012 - 2013,"366""",76,"50""","52""","113""","17"""
utah,Alta,Ikon,2013 - 2014,"353""",68,"64""","60""","124""","14"""
utah,Alta,Ikon,2014 - 2015,"278""",56,"44""","42""","90""","19"""
utah,Alta,Ikon,2015 - 2016,"286""",60,"51""","51""","116""","19"""
utah,Alta,Ikon,2016 - 2017,"304""",55,"64""","63""","145""","19"""
utah,Alta,Ikon,2017 - 2018,"190""",42,"54""","51""","115""","15"""
utah,Alta,Ikon,2018 - 2019,"656""",92,"74""","73""","180""","27"""
utah,Alta,Ikon,2019 - 2020,"326""",53,"50""","49""","134""","24"""
utah,Alta,Ikon,2020 - 2021,"330""",52,"48""","50""","116""","27"""
utah,Alta,Ikon,2021 - To Date,"265""",46,"72""","71""","114""","24"""
colorado,Arapahoe Basin,Ikon,2012 - 2013,"281""",93,"35""","35""","69""","14"""
colorado,Arapahoe Basin,Ikon,2013 - 2014,"418""",115,"56""","55""","90""","15"""
colorado,Arapahoe Basin,Ikon,2014 - 2015,"314""",98,"39""","39""","62""","19"""
colorado,Arapahoe Basin,Ikon,2015 - 2016,"290""",88,"48""","48""","80""","15"""
colorado,Arapahoe Basin,Ikon,2016 - 2017,"345""",89,"53""","52""","78""","18"""
colorado,Arapahoe Basin,Ikon,2017 - 2018,"247""",70,"40""","39""","73""","14"""
colorado,Arapahoe Basin,Ikon,2018 - 2019,"329""",99,"56""","56""","99""","14"""
colorado,Arapahoe Basin,Ikon,2019 - 2020,"173""",57,"34""","33""","69""","15"""
colorado,Arapahoe Basin,Ikon,2020 - 2021,"236""",87,"39""","38""","62""","9"""
colorado,Arapahoe Basin,Ikon,2021 - To Date,"100""",40,"43""","42""","62""","13"""
colorado,Aspen Snowmass,Ikon,2012 - 2013,"309""",70,"24""","34""","61""","15"""
colorado,Aspen Snowmass,Ikon,2013 - 2014,"326""",61,"39""","52""","90""","24"""
colorado,Aspen Snowmass,Ikon,2014 - 2015,"220""",53,"24""","36""","57""","11"""
colorado,Aspen Snowmass,Ikon,2015 - 2016,"305""",62,"36""","51""","72""","14"""
colorado,Aspen Snowmass,Ikon,2016 - 2017,"319""",69,"26""","45""","61""","19"""
colorado,Aspen Snowmass,Ikon,2017 - 2018,"233""",42,"21""","36""","52""","16"""
colorado,Aspen Snowmass,Ikon,2018 - 2019,"396""",82,"83""","57""","8181""","22"""
colorado,Aspen Snowmass,Ikon,2019 - 2020,"233""",60,"21""","30""","49""","15"""
colorado,Aspen Snowmass,Ikon,2020 - 2021,"257""",59,"24""","35""","59""","20"""
colorado,Aspen Snowmass,Ikon,2021 - To Date,"294""",48,"34""","55""","87""","19"""
california,Bear Mountain,Ikon,2012 - 2013,"102""",16,"14""","22""","36""","18"""
california,Bear Mountain,Ikon,2013 - 2014,"38""",8,"6""","13""","12""","10"""
california,Bear Mountain,Ikon,2014 - 2015,"51""",10,"7""","14""","18""","11"""
california,Bear Mountain,Ikon,2015 - 2016,"81""",16,"16""","24""","40""","18"""
california,Bear Mountain,Ikon,2016 - 2017,"174""",19,"19""","26""","46""","24"""
california,Bear Mountain,Ikon,2017 - 2018,"36""",10,"14""","20""","36""","8"""
california,Bear Mountain,Ikon,2018 - 2019,"133""",19,"22""","32""","44""","18"""
california,Bear Mountain,Ikon,2019 - 2020,"79""",13,"20""","23""","40""","18"""
california,Bear Mountain,Ikon,2020 - 2021,"110""",15,"23""","31""","46""","28"""
california,Bear Mountain,Ikon,2021 - To Date,"83""",12,"28""","37""","58""","13"""
montana,Big Sky,Ikon,2012 - 2013,"395""",92,"31""","44""","59""","16"""
montana,Big Sky,Ikon,2013 - 2014,"466""",81,"38""","51""","86""","26"""
montana,Big Sky,Ikon,2014 - 2015,"236""",60,"25""","35""","49""","16"""
montana,Big Sky,Ikon,2015 - 2016,"294""",79,"25""","44""","64""","12"""
montana,Big Sky,Ikon,2016 - 2017,"277""",78,"28""","41""","58""","13"""
montana,Big Sky,Ikon,2017 - 2018,"325""",80,"40""","58""","90""","15"""
montana,Big Sky,Ikon,2018 - 2019,"266""",77,"31""","51""","265""","14"""
montana,Big Sky,Ikon,2019 - 2020,"72""",28,"24""","40""","61""","9"""
montana,Big Sky,Ikon,2020 - 2021,"162""",55,"27""","42""","59""","11"""
montana,Big Sky,Ikon,2021 - To Date,"143""",47,"19""","41""","38""","10"""
ontario,Blue Mountain,Ikon,2012 - 2013,"56""",29,"23""","23""","59""","6"""
ontario,Blue Mountain,Ikon,2013 - 2014,"129""",60,"26""","26""","57""","10"""
ontario,Blue Mountain,Ikon,2014 - 2015,"100""",41,"25""","24""","59""","10"""
ontario,Blue Mountain,Ikon,2015 - 2016,"99""",32,"14""","14""","47""","18"""
ontario,Blue Mountain,Ikon,2016 - 2017,"68""",33,"17""","17""","49""","8"""
ontario,Blue Mountain,Ikon,2017 - 2018,"156""",63,"20""","19""","45""","8"""
ontario,Blue Mountain,Ikon,2018 - 2019,"106""",45,"21""","20""","45""","7"""
ontario,Blue Mountain,Ikon,2019 - 2020,"103""",44,"16""","16""","39""","8"""
ontario,Blue Mountain,Ikon,2020 - 2021,"7""",6,"12""","11""","45""","3"""
ontario,Blue Mountain,Ikon,2021 - To Date,"93""",38,"24""","23""","41""","7"""
michigan,Boyne Mountain,Ikon,2012 - 2013,"122""",48,"21""","33""","45""","10"""
michigan,Boyne Mountain,Ikon,2013 - 2014,"217""",81,"31""","45""","60""","10"""
michigan,Boyne Mountain,Ikon,2014 - 2015,"101""",42,"25""","34""","48""","10"""
michigan,Boyne Mountain,Ikon,2015 - 2016,"113""",36,"14""","25""","40""","10"""
michigan,Boyne Mountain,Ikon,2016 - 2017,"138""",50,"25""","31""","50""","10"""
michigan,Boyne Mountain,Ikon,2017 - 2018,"130""",40,"24""","31""","45""","20"""
michigan,Boyne Mountain,Ikon,2018 - 2019,"140""",46,"25""","26""","73""","13"""
michigan,Boyne Mountain,Ikon,2019 - 2020,"110""",41,"20""","20""","42""","6"""
michigan,Boyne Mountain,Ikon,2020 - 2021,"42""",23,"19""","18""","48""","6"""
michigan,Boyne Mountain,Ikon,2021 - To Date,"90""",45,"25""","25""","40""","8"""
utah,Brighton,Ikon,2012 - 2013,"306""",60,"47""","46""","99""","17"""
utah,Brighton,Ikon,2013 - 2014,"265""",48,"48""","49""","113""","14"""
utah,Brighton,Ikon,2014 - 2015,"220""",49,"36""","36""","79""","18"""
utah,Brighton,Ikon,2015 - 2016,"386""",65,"44""","44""","99""","33"""
utah,Brighton,Ikon,2016 - 2017,"518""",75,"55""","67""","149""","24"""
utah,Brighton,Ikon,2017 - 2018,"329""",67,"39""","38""","83""","16"""
utah,Brighton,Ikon,2018 - 2019,"588""",87,"66""","65""","141""","24"""
utah,Brighton,Ikon,2019 - 2020,"388""",58,"41""","40""","100""","24"""
utah,Brighton,Ikon,2020 - 2021,"321""",56,"43""","42""","95""","22"""
utah,Brighton,Ikon,2021 - To Date,"259""",40,"61""","57""","98""","22"""
colorado,Copper Mountain,Ikon,2012 - 2013,"237""",77,"29""","28""","80""","13"""
colorado,Copper Mountain,Ikon,2013 - 2014,"352""",87,"42""","47""","91""","18"""
colorado,Copper Mountain,Ikon,2014 - 2015,"254""",63,"35""","39""","70""","17"""
colorado,Copper Mountain,Ikon,2015 - 2016,"247""",71,"33""","40""","76""","15"""
colorado,Copper Mountain,Ikon,2016 - 2017,"246""",70,"32""","39""","64""","16"""
colorado,Copper Mountain,Ikon,2017 - 2018,"202""",59,"29""","37""","73""","18"""
colorado,Copper Mountain,Ikon,2018 - 2019,"246""",69,"37""","52""","87""","19"""
colorado,Copper Mountain,Ikon,2019 - 2020,"201""",65,"23""","32""","61""","17"""
colorado,Copper Mountain,Ikon,2020 - 2021,"185""",76,"23""","27""","50""","9"""
colorado,Copper Mountain,Ikon,2021 - To Date,"188""",61,"41""","48""","62""","13"""
washington,Crystal Mountain,Ikon,2012 - 2013,"838""",104,"47""","82""","79""","52"""
washington,Crystal Mountain,Ikon,2013 - 2014,"429""",81,"32""","72""","80""","38"""
washington,Crystal Mountain,Ikon,2014 - 2015,"154""",41,"7""","25""","30""","14"""
washington,Crystal Mountain,Ikon,2015 - 2016,"409""",78,"40""","63""","90""","21"""
washington,Crystal Mountain,Ikon,2016 - 2017,"388""",88,"38""","53""","84""","19"""
washington,Crystal Mountain,Ikon,2017 - 2018,"403""",78,"38""","59""","750""","16"""
washington,Crystal Mountain,Ikon,2018 - 2019,"377""",77,"33""","49""","443""","26"""
washington,Crystal Mountain,Ikon,2019 - 2020,"326""",57,"43""","41""","96""","20"""
washington,Crystal Mountain,Ikon,2020 - 2021,"406""",62,"60""","77""","133""","41"""
washington,Crystal Mountain,Ikon,2021 - To Date,"317""",49,"47""","55""","94""","34"""
