Location,Resort,Pass,Month,Average Snowfall,Snowfall Days,Average Base Depth,Average Summit Depth,Max Base Depth,Biggest Snowfall
utah,Alta,Ikon,October,"11""",3,"16""","20""","20""","5"""
utah,Alta,Ikon,November,"82""",14,"45""","45""","65""","16"""
utah,Alta,Ikon,December,"76""",13,"69""","71""","87""","16"""
utah,Alta,Ikon,January,"73""",13,"92""","93""","107""","15"""
utah,Alta,Ikon,February,"61""",11,"106""","106""","118""","14"""
utah,Alta,Ikon,March,"37""",7,"97""","91""","108""","12"""
utah,Alta,Ikon,April,"0""",0,"22""","14""","23""","0"""
utah,Alta,Ikon,May,"0""",0,"0""","0""","0""","0"""
colorado,Arapahoe Basin,Ikon,October,"33""",10,"20""","20""","25""","8"""
colorado,Arapahoe Basin,Ikon,November,"43""",13,"29""","29""","41""","10"""
colorado,Arapahoe Basin,Ikon,December,"42""",13,"43""","43""","52""","9"""
colorado,Arapahoe Basin,Ikon,January,"44""",14,"54""","54""","60""","9"""
colorado,Arapahoe Basin,Ikon,February,"44""",13,"61""","61""","68""","7"""
colorado,Arapahoe Basin,Ikon,March,"41""",13,"56""","57""","65""","7"""
colorado,Arapahoe Basin,Ikon,April,"32""",10,"58""","58""","68""","7"""
colorado,Arapahoe Basin,Ikon,May,"1""",0,"35""","32""","46""","0"""
colorado,Aspen Snowmass,Ikon,October,"22""",5,"14""","21""","18""","8"""
colorado,Aspen Snowmass,Ikon,November,"64""",14,"21""","37""","31""","13"""
colorado,Aspen Snowmass,Ikon,December,"52""",12,"31""","53""","41""","11"""
colorado,Aspen Snowmass,Ikon,January,"59""",12,"42""","66""","51""","12"""
colorado,Aspen Snowmass,Ikon,February,"65""",12,"80""","79""","875""","12"""
colorado,Aspen Snowmass,Ikon,March,"30""",7,"47""","65""","53""","8"""
colorado,Aspen Snowmass,Ikon,April,"0""",0,"20""","14""","20""","0"""
colorado,Aspen Snowmass,Ikon,May,"0""",0,"7""","2""","7""","0"""
california,Bear Mountain,Ikon,October,"4""",1,"10""","14""","12""","3"""
california,Bear Mountain,Ikon,November,"18""",3,"19""","29""","25""","8"""
california,Bear Mountain,Ikon,December,"29""",3,"28""","39""","32""","10"""
california,Bear Mountain,Ikon,January,"23""",4,"31""","44""","34""","9"""
california,Bear Mountain,Ikon,February,"15""",3,"28""","40""","34""","9"""
california,Bear Mountain,Ikon,March,"0""",0,"13""","17""","15""","0"""
california,Bear Mountain,Ikon,April,"0""",0,"0""","0""","0""","0"""
california,Bear Mountain,Ikon,May,"0""",0,"0""","0""","0""","0"""
montana,Big Sky,Ikon,October,"14""",4,"16""","22""","19""","5"""
montana,Big Sky,Ikon,November,"62""",16,"23""","40""","54""","12"""
montana,Big Sky,Ikon,December,"47""",12,"37""","59""","45""","9"""
montana,Big Sky,Ikon,January,"58""",16,"48""","77""","55""","10"""
montana,Big Sky,Ikon,February,"55""",13,"54""","84""","60""","10"""
montana,Big Sky,Ikon,March,"30""",7,"51""","72""","57""","8"""
montana,Big Sky,Ikon,April,"0""",0,"0""","0""","0""","0"""
montana,Big Sky,Ikon,May,"0""",0,"0""","0""","0""","0"""
ontario,Blue Mountain,Ikon,October,"0""",0,"1""","1""","1""","0"""
ontario,Blue Mountain,Ikon,November,"19""",7,"15""","14""","20""","5"""
ontario,Blue Mountain,Ikon,December,"30""",13,"30""","30""","39""","6"""
ontario,Blue Mountain,Ikon,January,"28""",12,"43""","43""","49""","6"""
ontario,Blue Mountain,Ikon,February,"11""",6,"42""","41""","46""","5"""
ontario,Blue Mountain,Ikon,March,"4""",2,"22""","21""","27""","2"""
ontario,Blue Mountain,Ikon,April,"0""",0,"0""","0""","0""","0"""
ontario,Blue Mountain,Ikon,May,"0""",0,"0""","0""","0""","0"""
michigan,Boyne Mountain,Ikon,October,"3""",1,"7""","10""","9""","1"""
michigan,Boyne Mountain,Ikon,November,"28""",10,"21""","30""","30""","8"""
michigan,Boyne Mountain,Ikon,December,"40""",14,"36""","47""","43""","7"""
michigan,Boyne Mountain,Ikon,January,"29""",13,"45""","54""","46""","6"""
michigan,Boyne Mountain,Ikon,February,"13""",6,"43""","52""","48""","5"""
michigan,Boyne Mountain,Ikon,March,"8""",3,"26""","32""","34""","2"""
michigan,Boyne Mountain,Ikon,April,"0""",0,"1""","2""","1""","0"""
michigan,Boyne Mountain,Ikon,May,"0""",0,"0""","0""","0""","0"""
utah,Brighton,Ikon,October,"19""",3,"27""","23""","35""","8"""
utah,Brighton,Ikon,November,"80""",14,"41""","42""","59""","17"""
utah,Brighton,Ikon,December,"87""",13,"64""","64""","79""","16"""
utah,Brighton,Ikon,January,"79""",14,"78""","81""","91""","15"""
utah,Brighton,Ikon,February,"64""",11,"93""","91""","102""","13"""
utah,Brighton,Ikon,March,"31""",6,"69""","78""","75""","10"""
utah,Brighton,Ikon,April,"0""",0,"0""","0""","0""","0"""
utah,Brighton,Ikon,May,"0""",0,"0""","0""","0""","0"""
