Location,Resort,Pass,Limited or unlimited,Total Lifts,Summit height,Vertical Drop,Base Elevation,Runs in Total,Longest Run,Skiable Terrain,Snow Making,Projected Opening,Projected Closing,Projected Days Open,Days Open Last Year,Years Open,Average Snowfall,Beginners Runs,Intermediate Runs,Advanced Runs,Expert Runs,Night Skiing
utah,Alta,Ikon,limited,6,11068',2538',8530',119,1.3 mi,2614 ac,140 ac,November 24  20212021/11/24,April 25  20222022/04/25,142,156,84,"547""",,,,,
colorado,Arapahoe Basin,Ikon,limited,9,13050',2530',10780',147,1.5 mi,1428 ac,125 ac,October 17  20212021/10/17,June 05  20222022/06/05,270,234,76,"350""",7%,20%,49%,24%,
colorado,Aspen Snowmass,Ikon,limited,40,12510',4406',8104',336,5.3 mi,5517 ac,658 ac,November 25  20212021/11/25,April 17  20222022/04/17,148,150,75,"300""",,,,,
california,Bear Mountain,Ikon,unlimited,12,8805',1665',7140',15,1.5 mi,198 ac,198 ac,December 02  20212021/12/02,April 16  20222022/04/16,135,122,79,"100""",20%,33%,33%,13%,
montana,Big Sky,Ikon,limited,36,11166',4350',7500',317,6 mi,5800 ac,400 ac,November 25  20212021/11/25,April 24  20222022/04/24,143,144,49,"400""",15%,25%,42%,18%,
ontario,Blue Mountain,Ikon,unlimited,11,1476',722',755',55,1 mi,365 ac,360 ac,December 04  20212021/12/04,April 03  20222022/04/03,149,135,81,"110""",22%,33%,16%,29%,260 ac
michigan,Boyne Mountain,Ikon,limited,12,1120',500',620',60,1 mi,415 ac,380 ac,December 03  20212021/12/03,April 24  20222022/04/24,130,122,74,"140""",49%,28%,20%,3%,200 ac
utah,Brighton,Ikon,limited,7,10500',1745',8755',66,1.2 mi,1050 ac,200 ac,November 20  20212021/11/20,April 20  20222022/04/20,152,138,86,"500""",,,,,200 ac
colorado,Copper Mountain,Ikon,unlimited,24,12313',2738',9712',150,1.7 mi,2527 ac,364 ac,November 22  20212021/11/22,April 24  20222022/04/24,163,153,50,"300""",25%,24%,34%,17%,
washington,Crystal Mountain,Ikon,limited,11,7012',3100',4400',86,2.5 mi,2600 ac,10 ac,December 04  20212021/12/04,May 08  20222022/05/08,142,N.A.,60,"486""",8%,31%,32%,29%,
british-columbia,Cypress Mountain,Ikon,limited,6,4751',2008',3012',61,2.5 mi,600 ac,82 ac,November 26  20212021/11/26,April 10  20222022/04/10,137,136,47,"426""",8%,38%,34%,20%,66 ac
utah,Deer Valley,Ikon,limited,21,9570',3000',6570',103,2.8 mi,2026 ac,660 ac,December 04  20212021/12/04,April 17  20222022/04/17,127,N.A.,42,"300""",27%,31%,10%,32%,
colorado,Eldora,Ikon,unlimited,10,10600',1400',9200',61,3 mi,680 ac,680 ac,November 19  20212021/11/19,April 17  20222022/04/17,170,147,60,"311""",18%,48%,18%,16%,
wyoming,Jackson Hole,Ikon,limited,13,10450',4139',6311',131,4.5 mi,2500 ac,195 ac,November 25  20212021/11/25,April 10  20222022/04/10,136,136,57,"459""",4%,41%,38%,17%,
california,June Mountain,Ikon,unlimited,7,10090',2590',7545',43,2 mi,1500 ac,,December 18  20212021/12/18,April 10  20222022/04/10,128,111,61,"250""",16%,40%,28%,16%,
vermont,Killington,Ikon,limited,22,4241',3050',1165',155,6 mi,1526 ac,600 ac,November 06  20212021/11/06,May 22  20222022/05/22,203,205,64,"250""",,,,,
alberta,Lake Louise,Ikon,limited,10,8652',3251',5400',164,5 mi,4200 ac,680 ac,November 05  20212021/11/05,May 01  20222022/05/01,N.A.,138,70,"179""",,,,,
new-hampshire,Loon Mountain,Ikon,limited,10,3050',2100',950',61,2.5 mi,370 ac,322 ac,December 03  20212021/12/03,April 17  20222022/04/17,144,149,56,"160""",,,,,
california,Mammoth,Ikon,unlimited,25,11053',3100',7953',150,3 mi,3500 ac,700 ac,October 29  20212021/10/29,May 30  20222022/05/30,N.A.,260,69,"400""",15%,48%,24%,13%,
oregon,Mt. Bachelor,Ikon,limited,15,9065',3365',5700',119,4 mi,4323 ac,2.5 mi,December 13  20212021/12/13,May 22  20222022/05/22,177,185,64,"462""",19%,55%,22%,3%,
alberta,Mt. Norquay,Ikon,limited,6,8038',1650',5397',60,0.7 mi,190 ac,162 ac,November 06  20212021/11/06,May 01  20222022/05/01,163,154,96,"118""",38%,25%,37%,,20 ac
california,Palisades Tahoe,Ikon,unlimited,34,9050',2850',6200',245,3.2 mi,6000 ac,1000 ac,December 03  20212021/12/03,May 15  20222022/05/15,196,212,73,"450""",,,,,
